,name,product_id,categories,image_url,url,brand,price,compare_at_price
363,Orange Fruit Garden Scarf Midi Dress,7268851482717,'DRESSES',https://farmrio.com/cdn/shop/files/317838_02_01e3ffe0-7054-42a2-af88-b024de8d998f.jpg?v=1710470991&width=400,https://farmrio.com/cdn/shop/files/317838_02_01e3ffe0-7054-42a2-af88-b024de8d998f.jpg?v=1710470991&width=400,FARM Rio,"Rs.70,300.00","Rs.70,300.00"
364,Orange Fruit Garden Scarf Midi Dress,7268851482717,'DRESSES',https://farmrio.com/cdn/shop/files/317838_02_01e3ffe0-7054-42a2-af88-b024de8d998f.jpg?v=1710470991&width=400,https://farmrio.com/cdn/shop/files/317838_02_01e3ffe0-7054-42a2-af88-b024de8d998f.jpg?v=1710470991&width=400,FARM Rio,"Rs.70,300.00","Rs.70,300.00"
365,Orange Fruit Garden Scarf Midi Dress,7268851482717,'DRESSES',https://farmrio.com/cdn/shop/files/317838_02_01e3ffe0-7054-42a2-af88-b024de8d998f.jpg?v=1710470991&width=400,https://farmrio.com/cdn/shop/files/317838_02_01e3ffe0-7054-42a2-af88-b024de8d998f.jpg?v=1710470991&width=400,FARM Rio,"Rs.70,300.00","Rs.70,300.00"
366,Orange Guipure Sleeveless Maxi Dress,7268815339613,'DRESSES',https://farmrio.com/cdn/shop/products/318233_01_e5f2494f-8e6d-47d5-893a-a3a1ca79596c.jpg?v=1706874194&width=400,https://farmrio.com/cdn/shop/products/318233_01_e5f2494f-8e6d-47d5-893a-a3a1ca79596c.jpg?v=1706874194&width=400,FARM Rio,"Rs.99,000.00","Rs.99,000.00"
367,Orange Guipure Sleeveless Maxi Dress,7268815339613,'DRESSES',https://farmrio.com/cdn/shop/products/318233_01_e5f2494f-8e6d-47d5-893a-a3a1ca79596c.jpg?v=1706874194&width=400,https://farmrio.com/cdn/shop/products/318233_01_e5f2494f-8e6d-47d5-893a-a3a1ca79596c.jpg?v=1706874194&width=400,FARM Rio,"Rs.99,000.00","Rs.99,000.00"
368,Orange Guipure Sleeveless Maxi Dress,7268815339613,'DRESSES',https://farmrio.com/cdn/shop/products/318233_01_e5f2494f-8e6d-47d5-893a-a3a1ca79596c.jpg?v=1706874194&width=400,https://farmrio.com/cdn/shop/products/318233_01_e5f2494f-8e6d-47d5-893a-a3a1ca79596c.jpg?v=1706874194&width=400,FARM Rio,"Rs.99,000.00","Rs.99,000.00"
369,Orange Guipure Sleeveless Maxi Dress,7268815339613,'DRESSES',https://farmrio.com/cdn/shop/products/318233_01_e5f2494f-8e6d-47d5-893a-a3a1ca79596c.jpg?v=1706874194&width=400,https://farmrio.com/cdn/shop/products/318233_01_e5f2494f-8e6d-47d5-893a-a3a1ca79596c.jpg?v=1706874194&width=400,FARM Rio,"Rs.99,000.00","Rs.99,000.00"
370,Orange Guipure Sleeveless Maxi Dress,7268815339613,'DRESSES',https://farmrio.com/cdn/shop/products/318233_01_e5f2494f-8e6d-47d5-893a-a3a1ca79596c.jpg?v=1706874194&width=400,https://farmrio.com/cdn/shop/products/318233_01_e5f2494f-8e6d-47d5-893a-a3a1ca79596c.jpg?v=1706874194&width=400,FARM Rio,"Rs.99,000.00","Rs.99,000.00"
371,Orange Guipure Sleeveless Maxi Dress,7268815339613,'DRESSES',https://farmrio.com/cdn/shop/products/318233_01_e5f2494f-8e6d-47d5-893a-a3a1ca79596c.jpg?v=1706874194&width=400,https://farmrio.com/cdn/shop/products/318233_01_e5f2494f-8e6d-47d5-893a-a3a1ca79596c.jpg?v=1706874194&width=400,FARM Rio,"Rs.99,000.00","Rs.99,000.00"
372,Orange Gradient Stripes Maxi Dress,7268907778141,'DRESSES',https://farmrio.com/cdn/shop/files/317643_01.jpg?v=1711414516&width=400,https://farmrio.com/cdn/shop/files/317643_01.jpg?v=1711414516&width=400,FARM Rio,"Rs.84,600.00","Rs.84,600.00"
373,Orange Gradient Stripes Maxi Dress,7268907778141,'DRESSES',https://farmrio.com/cdn/shop/files/317643_01.jpg?v=1711414516&width=400,https://farmrio.com/cdn/shop/files/317643_01.jpg?v=1711414516&width=400,FARM Rio,"Rs.84,600.00","Rs.84,600.00"
374,Orange Gradient Stripes Maxi Dress,7268907778141,'DRESSES',https://farmrio.com/cdn/shop/files/317643_01.jpg?v=1711414516&width=400,https://farmrio.com/cdn/shop/files/317643_01.jpg?v=1711414516&width=400,FARM Rio,"Rs.84,600.00","Rs.84,600.00"
375,Orange Gradient Stripes Maxi Dress,7268907778141,'DRESSES',https://farmrio.com/cdn/shop/files/317643_01.jpg?v=1711414516&width=400,https://farmrio.com/cdn/shop/files/317643_01.jpg?v=1711414516&width=400,FARM Rio,"Rs.84,600.00","Rs.84,600.00"
376,Yellow Floral Yard Lenzing™ Ecovero™ Euroflax™ Midi Dress,7268932255837,'DRESSES',https://farmrio.com/cdn/shop/files/322692_01.jpg?v=1710200901&width=400,https://farmrio.com/cdn/shop/files/322692_01.jpg?v=1710200901&width=400,FARM Rio,"Rs.81,800.00","Rs.81,800.00"
377,Yellow Floral Yard Lenzing™ Ecovero™ Euroflax™ Midi Dress,7268932255837,'DRESSES',https://farmrio.com/cdn/shop/files/322692_01.jpg?v=1710200901&width=400,https://farmrio.com/cdn/shop/files/322692_01.jpg?v=1710200901&width=400,FARM Rio,"Rs.81,800.00","Rs.81,800.00"
378,Yellow Floral Yard Lenzing™ Ecovero™ Euroflax™ Midi Dress,7268932255837,'DRESSES',https://farmrio.com/cdn/shop/files/322692_01.jpg?v=1710200901&width=400,https://farmrio.com/cdn/shop/files/322692_01.jpg?v=1710200901&width=400,FARM Rio,"Rs.81,800.00","Rs.81,800.00"
379,Yellow Floral Yard Lenzing™ Ecovero™ Euroflax™ Midi Dress,7268932255837,'DRESSES',https://farmrio.com/cdn/shop/files/322692_01.jpg?v=1710200901&width=400,https://farmrio.com/cdn/shop/files/322692_01.jpg?v=1710200901&width=400,FARM Rio,"Rs.81,800.00","Rs.81,800.00"
380,Yellow Floral Yard Lenzing™ Ecovero™ Euroflax™ Midi Dress,7268932255837,'DRESSES',https://farmrio.com/cdn/shop/files/322692_01.jpg?v=1710200901&width=400,https://farmrio.com/cdn/shop/files/322692_01.jpg?v=1710200901&width=400,FARM Rio,"Rs.81,800.00","Rs.81,800.00"
381,Yellow Floral Yard Lenzing™ Ecovero™ Euroflax™ Midi Dress,7268932255837,'DRESSES',https://farmrio.com/cdn/shop/files/322692_01.jpg?v=1710200901&width=400,https://farmrio.com/cdn/shop/files/322692_01.jpg?v=1710200901&width=400,FARM Rio,"Rs.81,800.00","Rs.81,800.00"
382,Yellow Floral Yard Lenzing™ Ecovero™ Euroflax™ Maxi Dress,7268784668765,'DRESSES',https://farmrio.com/cdn/shop/files/317915_01.jpg?v=1711406041&width=400,https://farmrio.com/cdn/shop/files/317915_01.jpg?v=1711406041&width=400,FARM Rio,"Rs.81,800.00","Rs.81,800.00"
383,Yellow Floral Yard Lenzing™ Ecovero™ Euroflax™ Maxi Dress,7268784668765,'DRESSES',https://farmrio.com/cdn/shop/files/317915_01.jpg?v=1711406041&width=400,https://farmrio.com/cdn/shop/files/317915_01.jpg?v=1711406041&width=400,FARM Rio,"Rs.81,800.00","Rs.81,800.00"
384,Yellow Floral Yard Lenzing™ Ecovero™ Euroflax™ Maxi Dress,7268784668765,'DRESSES',https://farmrio.com/cdn/shop/files/317915_01.jpg?v=1711406041&width=400,https://farmrio.com/cdn/shop/files/317915_01.jpg?v=1711406041&width=400,FARM Rio,"Rs.81,800.00","Rs.81,800.00"
385,Yellow Floral Yard Lenzing™ Ecovero™ Euroflax™ Maxi Dress,7268784668765,'DRESSES',https://farmrio.com/cdn/shop/files/317915_01.jpg?v=1711406041&width=400,https://farmrio.com/cdn/shop/files/317915_01.jpg?v=1711406041&width=400,FARM Rio,"Rs.81,800.00","Rs.81,800.00"
386,Yellow Floral Yard Lenzing™ Ecovero™ Euroflax™ Maxi Dress,7268784668765,'DRESSES',https://farmrio.com/cdn/shop/files/317915_01.jpg?v=1711406041&width=400,https://farmrio.com/cdn/shop/files/317915_01.jpg?v=1711406041&width=400,FARM Rio,"Rs.81,800.00","Rs.81,800.00"
387,Yellow Floral Yard Lenzing™ Ecovero™ Euroflax™ Maxi Dress,7268784668765,'DRESSES',https://farmrio.com/cdn/shop/files/317915_01.jpg?v=1711406041&width=400,https://farmrio.com/cdn/shop/files/317915_01.jpg?v=1711406041&width=400,FARM Rio,"Rs.81,800.00","Rs.81,800.00"
388,Off-White Flora Tapestry Lenzing™ Ecovero™ Euroflax™ Maxi Dress,7268817272925,'DRESSES',https://farmrio.com/cdn/shop/products/317919_01_d9da014c-7af0-4740-8fde-91cd00a43ab2.jpg?v=1706871205&width=400,https://farmrio.com/cdn/shop/products/317919_01_d9da014c-7af0-4740-8fde-91cd00a43ab2.jpg?v=1706871205&width=400,FARM Rio,"Rs.90,400.00","Rs.90,400.00"
389,Off-White Flora Tapestry Lenzing™ Ecovero™ Euroflax™ Maxi Dress,7268817272925,'DRESSES',https://farmrio.com/cdn/shop/products/317919_01_d9da014c-7af0-4740-8fde-91cd00a43ab2.jpg?v=1706871205&width=400,https://farmrio.com/cdn/shop/products/317919_01_d9da014c-7af0-4740-8fde-91cd00a43ab2.jpg?v=1706871205&width=400,FARM Rio,"Rs.90,400.00","Rs.90,400.00"
390,Off-White Flora Tapestry Lenzing™ Ecovero™ Euroflax™ Maxi Dress,7268817272925,'DRESSES',https://farmrio.com/cdn/shop/products/317919_01_d9da014c-7af0-4740-8fde-91cd00a43ab2.jpg?v=1706871205&width=400,https://farmrio.com/cdn/shop/products/317919_01_d9da014c-7af0-4740-8fde-91cd00a43ab2.jpg?v=1706871205&width=400,FARM Rio,"Rs.90,400.00","Rs.90,400.00"
